,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ClinicalSignificance__Affects,-0.804880034928194,-0.5897886336967482,-0.805384878999471,0.5595847245760659,7.172125883654289,-5.388103464225866,6.644046885296292,-0.38177488729384546,2.418311747282352,-10.837767901041225,-11.345838824861064,6.162026792322294,3.1331168063183257,-7.201676010461899,5.335324312571558,-0.6194367553423855,31.15700230805964,4.690562089180017,-3.7120294815325336,-24.76326993373107
ClinicalSignificance__Benign,0.006748275413052531,0.06630615994302483,-0.09378955926105288,-0.0675140630399433,0.05706610922157154,0.7008792701664265,0.34648665894513553,-0.4844525912428096,1.0728513307393879,1.2012887460920734,0.08119722636804279,1.1010767113758404,0.0045728045913714516,0.0006350965938291738,0.21763281431044382,0.020925989098818425,-0.25599128845365904,-0.15434379680767416,0.029341134281515493,0.003672729033278591
ClinicalSignificance__Benign/Likely_benign,-0.08882333341216823,-0.02540118766601048,0.10148231413629376,0.09009270190572079,0.12174997621489235,1.1699874177162821,0.8599935915255641,0.7721443087439962,3.249435852105538,-1.5617453039433042,-0.20344284527320608,-0.73308273320822,1.234039273451282,0.9050866480549312,-0.6332229025623074,-0.5520963573284717,-0.46879855128823156,0.06236489389625506,-0.29857347053726613,0.6408553503308003
ClinicalSignificance__Benign/Likely_benign|association,39.06253833211287,4.509608456118072,7.614998769305723,48.458918548254,-1.2874961961559115,130.73848567248385,-46.601336074523076,25.91484907707258,-20.333220674757147,98.05299895674187,-89.72806404358474,-25.11368324892988,-172.04975730911272,128.30450284221106,-368.7689837952979,402.1587660166906,-120.25004627480234,-88.05997796257387,9.082902824220472,-128.0627715802721
ClinicalSignificance__Benign/Likely_benign|drug_response,-11.589015655274814,-6.969324647580347,52.72353893459685,12.222691116861398,5.961664375391348,29.990924084921637,41.66083745536085,12.148572028593454,91.73588386115966,127.40960137696126,89.53964533919643,-156.63155723137126,-93.21466244283711,-61.12139993493873,72.35911218592089,-62.655785257890564,-52.663681571006734,8.921016425985531,218.38932214448286,52.819884860646845
ClinicalSignificance__Benign/Likely_benign|drug_response|other,25.04528505673313,8.243205411354047,-17.190404604372052,6.413969256191923,-6.16345151121434,40.96439943250844,21.39371597313891,-60.247528488505736,17.65143227127358,-66.60576765818085,-75.93287118026132,64.80438356528096,-23.915972552286448,19.97207500490871,-94.12907178062797,23.542410705167683,20.150138900317504,108.93901109386061,117.06751185259876,4.501435228411697
ClinicalSignificance__Benign/Likely_benign|other,5.071805684240905,1.048586074677227,-9.379946737039871,-2.56593459290728,-6.442402334375435,-10.043546126641399,18.63874273791206,6.374721496107186,86.08592169014153,-3.7299489478479586,27.58076682285722,36.23664907976564,15.69504455999296,91.00701639382906,-83.08239459911165,37.64692117980796,-53.77907358261385,67.07932797881192,15.950089503776297,17.425641196814556
ClinicalSignificance__Benign/Likely_benign|other|risk_factor,49.81685149366668,11.125127269859862,-13.28087599798118,-38.21252591520034,6.514379130704541,23.595391628017133,-12.367583161333414,150.7610975390809,50.53184234377308,92.19770504054205,-123.39373178411067,113.83337115871504,118.92872785079594,-242.9807659224978,248.39282769024663,-29.71972257551229,194.1008937841784,55.05599550110082,-298.7961452942005,130.96339319631312
ClinicalSignificance__Benign/Likely_benign|risk_factor,-0.20432005864083286,4.9041892857589975,27.31094565871323,11.884821744973902,15.071319602011545,28.844668836404608,123.71812499857586,-12.81672109103579,-149.90143329201692,85.91667226958968,-89.54982633827477,-55.48709252605201,285.57328412566585,-71.82183421051532,-132.36206395684448,16.356064791191212,30.77651472604043,-38.872715707811345,-36.253593347250984,-114.58171058150955
ClinicalSignificance__Benign|Affects,-9.477897932664835,7.1831444998828715,-25.706418870367997,-6.032434734167116,-5.755287905938121,-21.553406706556956,16.135730528725034,11.41442223625583,-50.179039917355624,105.14622203379211,68.19628260758942,-66.08581932200622,-85.18960619658236,14.887921633669439,-1.936865819624849,82.4198617707491,-53.99879111326287,70.31188786315366,90.74179374085838,-81.20627260296926
ClinicalSignificance__Benign|Affects|association|other,6.406800791560823,23.883297708014137,-38.078205162455944,-4.232866353211689,-47.293853280513076,0.8404848425897233,32.81161589085193,-83.75235378099251,61.863407412489,0.2914733912042591,196.72414261967623,-21.949427773322487,-78.6246447469608,155.47659423512883,-164.60449234770581,26.37029909791432,-177.46159562416324,-252.01965051375643,106.48715719883384,-34.34487305068591
ClinicalSignificance__Benign|association,-9.816732571344376,-5.958369778285068,9.280372279484432,-4.392797012161124,-10.016674932711188,-3.8202678886976082,19.872134002560184,37.682837462022164,-3.8547469474859106,8.171605027653447,-0.5266324756926289,14.462394004441908,-20.181195640457197,2.9993443017921244,-7.801132396364606,-8.962471340951776,10.164550133853215,3.142133588860843,-9.736897797771976,25.378560121916294
ClinicalSignificance__Benign|confers_sensitivity,-18.05464599678736,-16.924454853949825,-28.551972776675104,18.28762410589949,-35.792061509168,28.347414673928224,24.75418900372824,-145.6127812448707,-69.74976610296349,-7.9555219251743035,44.19015451940428,-66.46121535675533,138.01097090531877,-141.07183160275582,21.858004220866995,60.06098771373316,-115.38116542905837,-106.17971282190905,204.44295186548092,-279.1485199576602
ClinicalSignificance__Benign|drug_response,5.851046416605358,8.032167689877124,0.6129512455623284,0.7455187703219026,17.813091068273586,18.85392884178663,0.6777228608369341,55.257246166005906,-84.71517612876073,-20.970719351928793,-22.88086024061375,65.55276125212717,52.57365385637072,84.2461838324702,-55.76490768580257,-28.92643487758088,-0.076488058933714,-9.234304122258719,104.99977260062855,-16.56519092650217
